item_id,subject
dos-passos-1919,World War (1914-1918)
dos-passos-1919,United States
dos-passos-1919,"World War, 1914-1918--Influence"
dos-passos-1919,"Influence (Literary, artistic, etc.)"
hoptner-1933-year-magazine,Periodicals
russell-abc-atoms,Atoms
pound-abc-economics,Economics
sherwood-abe-lincoln-illinois,Raymond Massey
forster-abinger-harvest,English essays
walpole-dark-circus,Detective and mystery stories
matthiessen-achievement-s-eliot,Poetry
matthiessen-achievement-s-eliot,T. S. Eliot
masters-across-spoon-river,Edgar Lee Masters
gibbs-across-frontiers,World War (1914-1918)
gibbs-across-frontiers,Politics and government
gibbs-across-frontiers,Europe
gibbs-across-frontiers,"World War, 1914-1918--Influence"
gibbs-across-frontiers,"Influence (Literary, artistic, etc.)"
addison,Joseph Addison
odonnell-adrigoole,Ireland
odonnell-adrigoole,Politics and government
odonnell-adrigoole,Ireland--Donegal (County)
odonnell-adrigoole,"Authors, Irish"
bacon-advancement-learning,Science--Methodology
bacon-advancement-learning,Logic
bacon-advancement-learning,Education--Philosophy
bacon-advancement-learning,"Knowledge, Theory of"
gibbs-adventures-journalism,Journalists
gibbs-adventures-journalism,Philip Gibbs
atherton-adventures-novelist,Authors
atherton-adventures-novelist,Gertrude Franklin Horn Atherton
doyle-adventures-sherlock-holmes,England
doyle-adventures-sherlock-holmes,Private investigators
doyle-adventures-sherlock-holmes,Sherlock Holmes
twain-adventures-tom-sawyer,Boys
twain-adventures-tom-sawyer,Child witnesses
twain-adventures-tom-sawyer,Mississippi River Valley
twain-adventures-tom-sawyer,Missouri
twain-adventures-tom-sawyer,Tom Sawyer
twain-adventures-tom-sawyer,Runaway children
huxley-africa-view,Travel
huxley-africa-view,Education
huxley-africa-view,British colonies
huxley-africa-view,Africa
huxley-africa-view,"Africa, East"
huxley-africa-view,"Education--Africa, East"
warner-death-don-juan,Spain
bronte-agnes-grey,England
bronte-agnes-grey,Governesses
bronte-agnes-grey,Single women
pasley-al-capone-biography,Criminals
pasley-al-capone-biography,Illinois--Chicago
pasley-al-capone-biography,Al Capone
henderson-aldous-huxley,"Novelists, English"
henderson-aldous-huxley,"Authors, English"
henderson-aldous-huxley,Aldous Huxley
gordon-aleck-maury-sportsman,Hunters
irving-alhambra,Travel
irving-alhambra,Alhambra (Granada)
meynell-alice-meynell-memoir,Alice Meynell
tomlinson-yesterdays,World War (1914-1918)
field-heaven,Henriette Desportes Field
meredith-amazing-marriage,Marriage
brooks-american-caravan-yearbook,American literature
noguchi-american-diary-japanese,Yoné Noguchi
heiser-american-doctors-odyssey,Rockefeller Foundation
heiser-american-doctors-odyssey,Victor G. Heiser
michaud-american-novel-day,American fiction
michaud-american-novel-day,American fiction--History and criticism
sinclair-american-outpost-book,Upton Sinclair
engle-american-song-book,American poetry--20th century
engle-american-song-book,American poetry
dreiser-american-tragedy,Murder
wells-anatomy-frustration-modern,1801-
bowra-ancient-greek-literature,Greek literature
bowra-ancient-greek-literature,Greek literature--History and criticism
sholokhov-quiet-flows-don,World War (1914-1918)
sholokhov-quiet-flows-don,Soviet Union
sholokhov-quiet-flows-don,Revolution (Soviet Union : 1917-1921)
birrell-andrew-marvell,Andrew Marvell
priestley-angel-pavement,England--London
priestley-angel-pavement,Capitalists and financiers
priestley-angel-pavement,Small business
priestley-angel-pavement,Businessmen
sanborn-anne-brittany-story,Anne
forster-anonymity-enquiry,Authorship
lawrence-apocalypse,Bible. Revelation
lawrence-apocalypse,Early through 1950
sidney-apology-poetry,Poetry
dickinson-appearances-notes-travel,Travel
dickinson-appearances-notes-travel,Civilization
dickinson-appearances-notes-travel,United States
dickinson-appearances-notes-travel,East Asia
dickinson-appearances-notes-travel,"Civilization, Oriental"
ohara-appointment-samarra,Young men
ohara-appointment-samarra,Married people
ohara-appointment-samarra,Psychological fiction
ohara-appointment-samarra,Self-destructive behavior
ohara-appointment-samarra,Ethnic relations
ohara-appointment-samarra,Suicide victims
ohara-appointment-samarra,Pennsylvania
chesterton-appreciations-criticisms-works,Charles Dickens
hogarth-arabia,Arabian Peninsula
anderson-architecture-ancient-greece,General works
nichols-home-series-bouquets,Great Britain
nichols-home-series-bouquets,Biography
ariel,Democracy
ariel,Social ethics
croce-ariosto-shakespeare-corneille,William Shakespeare
croce-ariosto-shakespeare-corneille,Lodovico Ariosto
croce-ariosto-shakespeare-corneille,Pierre Corneille
follett-arnold-bennett,Arnold Bennett
morley-arrow,American literature
rank-art-artist-creative,General works
rank-art-artist-creative,Artists
rank-art-artist-creative,Art--Psychology
read-art-now-introduction,Art
read-art-now-introduction,Aesthetics--History
read-art-now-introduction,Aesthetics
read-art-now-introduction,General works
lewis-art-ruled,Socialism
lewis-art-ruled,Social history
aubert-art-pantomime,Pantomime
pennell-art-whistler,James McNeill Whistler
starkie-arthur-rimbaud,"Poets, French"
starkie-arthur-rimbaud,Arthur Rimbaud
arthur-symons,Arthur Symons
layamon-arthurian-chronicles,Arthur
layamon-arthurian-chronicles,Anglo-Norman poetry
layamon-arthurian-chronicles,Arthurian romances
grigson-arts-day,Literature
grigson-arts-day,Music
grigson-arts-day,Art
grigson-arts-day,Theater
grigson-arts-day,Several authors
grigson-arts-day,Psychology and art
faulkner-lay-dying,Families
faulkner-lay-dying,Death
faulkner-lay-dying,Mississippi
auden-ascent-f6,England
auden-ascent-f6,Mountaineering expeditions
auden-ascent-f6,Mountaineers
maugham-ashenden-british-agent,World War (1914-1918)
harrison-asia-reborn,World War (1914-1918)
harrison-asia-reborn,World politics
harrison-asia-reborn,Politics and government
harrison-asia-reborn,Nationalism
harrison-asia-reborn,Eastern question (Far East)
harrison-asia-reborn,Asia
harrison-asia-reborn,"World War, 1914-1918--Territorial questions"
sitwell-aspects-modern-poetry,American poetry
sitwell-aspects-modern-poetry,T. S. Eliot
sitwell-aspects-modern-poetry,English poetry
sitwell-aspects-modern-poetry,Ezra Pound
sitwell-aspects-modern-poetry,American poetry--20th century--History and criticism
sitwell-aspects-modern-poetry,English poetry--20th century--History and criticism
sitwell-aspects-modern-poetry,W. B. Yeats
sitwell-aspects-modern-poetry,Sacheverell Sitwell
sitwell-aspects-modern-poetry,Gerard Manley Hopkins
forster-aspects-novel,English fiction
forster-aspects-novel,English fiction--History and criticism
forster-aspects-novel,Fiction
lawrence-assorted-articles,English essays
lawrence-assorted-articles,English essays--20th century
bennett-authors-craft,Authorship
freud-autobiographical-study,Psychoanalysis
freud-autobiographical-study,Sigmund Freud
trollope-autobiography,Anthony Trollope
davies-autobiography-super-tramp,England
davies-autobiography-super-tramp,"Poets, English"
davies-autobiography-super-tramp,Tramps
davies-autobiography-super-tramp,W. H. Davies
stein-autobiography-alice-b,Gertrude Stein
johnson-autobiography-ex-colored,African American men
chesterton-autobiography-g-k,"Authors, English"
chesterton-autobiography-g-k,G. K. Chesterton
moore-avowals,"Literature, Modern"
moore-avowals,"Literature, Modern--History and criticism"
joad-babbitt-warren,Civilization
joad-babbitt-warren,United States
wharton-backward-glance,Edith Wharton
wharton-backward-glance,"Novelists, American"
roughead-bad-companions,Great Britain
roughead-bad-companions,Criminals
roughead-bad-companions,Criminals--Great Britain
delmar-bad-girl,New York (State)--New York
delmar-bad-girl,Marriage
percy-ballads-romances,Romances
percy-ballads-romances,Ballads
evening-sun,Maryland--Baltimore
gozlan-balzac-slippers,Honoré de Balzac
asbury-barbary-coast-informal,Travel
asbury-barbary-coast-informal,Social conditions
asbury-barbary-coast-informal,California--San Francisco
rinehart-bat-novel-play,Detective and mystery stories
smith-beadle,South African fiction (English)
ossendowski-beasts-men-gods,Travel
ossendowski-beasts-men-gods,Soviet Union
ossendowski-beasts-men-gods,Communism
ossendowski-beasts-men-gods,Communism--Soviet Union
ossendowski-beasts-men-gods,Mongolia
goldsmith-bee-essays,Richard Nash
rolland-beethoven-creator,Ludwig van Beethoven
sullivan-beethoven-spiritual-development,Ludwig van Beethoven
turner-beethoven-search-reality,Ludwig van Beethoven
renwick-beginnings-english-literature,English literature
renwick-beginnings-english-literature,English literature--History and criticism
langdon-davies-behind-spanish-barricades,Spain
langdon-davies-behind-spanish-barricades,Civil War (Spain : 1936-1939)
atherton-bell-fog,"Short stories, American"
atherton-bell-fog,American fiction--Women authors
hart-bellamy-trial,Detective and mystery stories
sabatini-bellarion-fortunate-romance,Italy
linklater-ben-jonson-king,James
linklater-ben-jonson-king,Ben Jonson
solomon-bergson,Henri Bergson
henderson-bernard-shaw-playboy,Bernard Shaw
trollope-bertrams,England
trollope-bertrams,Scholars
obrien-best-short-stories-1924,"Short stories, American"
obrien-best-short-stories-1924,"Short stories, English"
obrien-best-short-stories-1930,"Short stories, English"
obrien-best-short-stories-1930,"Short stories, Australian"
obrien-best-short-stories-1933,"Short stories, American"
obrien-best-short-stories-1933,Short stories
obrien-best-short-stories-1933,American fiction--20th century
obrien-best-short-stories-1933,American fiction
obrien-best-short-stories-1934,"Short stories, American"
obrien-best-short-stories-1934,"Short stories, English"
obrien-best-short-stories-1935,"Short stories, American"
obrien-best-short-stories-1935,Short stories
obrien-best-short-stories-1935,American fiction--20th century
obrien-best-short-stories-1935,American fiction
obrien-best-short-stories-1936,"Short stories, American"
obrien-best-short-stories-1936,Short stories
obrien-best-short-stories-1936,American fiction--20th century
obrien-best-short-stories-1936,American fiction
obrien-best-short-stories-1925,"Short stories, American"
obrien-best-short-stories-1925,"Short stories, English"
obrien-best-short-stories-1925,"Short stories, English--Irish authors"
obrien-best-short-stories-1927,"Short stories, American"
obrien-best-short-stories-1927,Short stories
thomas-beyond-khyber-pass,Travel
thomas-beyond-khyber-pass,Afghanistan
cabell-beyond-life,"Historical fiction, American"
cabell-beyond-life,"Fantasy fiction, American"
hudson-birds-town-village,England
hudson-birds-town-village,Birds
wright-black-boy,"Authors, American"
wright-black-boy,Mississippi
wright-black-boy,African Americans--Social life and customs
wright-black-boy,African American authors
wright-black-boy,Richard Wright
powys-black-bryony,Maxims
coppard-black-dog-stories,England
coppard-black-dog-stories,Manners and customs
coppard-black-dog-stories,Short stories
james-black-jacobins-toussaint,Haiti
james-black-jacobins-toussaint,Revolution (Haiti : 1791-1804)
james-black-jacobins-toussaint,Toussaint Louverture
vandercook-black-majesty,Haiti
vandercook-black-majesty,Revolution (Haiti : 1791-1804)
vandercook-black-majesty,Henri Christophe
waugh-black-mischief,Imperialism
waugh-black-mischief,Primitive societies
muir-black-pavilion-adventure,Scotland--Lothian
norris-blix-moran-lady,Travel
norris-blix-moran-lady,Adventure stories
norris-blix-moran-lady,Manners and customs
norris-blix-moran-lady,Journalists
norris-blix-moran-lady,California
norris-blix-moran-lady,California--San Francisco
norris-blix-moran-lady,Sea stories
parry-bloody-assize,Great Britain
parry-bloody-assize,Bloody Assizes (1685)
parry-bloody-assize,"Bloody Assizes, 1685"
snell-blue-murder,Manchester City Football Club
dreiser-book,United States
dreiser-book,Journalists
dreiser-book,"Novelists, American"
dreiser-book,Theodore Dreiser
hudson-book-naturalist,Natural history
mencken-book-burlesques,American wit and humor
yeats-book-irish-verse,English poetry--Irish authors
addis-book-job-book,Bible. Ruth
addis-book-job-book,Bible as literature
addis-book-job-book,Bible. Job
keyserling-book-marriage-new,Marriage
lear-book-nonsense,"Nonsense verses, English"
lear-book-nonsense,Limericks
lear-book-nonsense,"Humorous poetry, English"
monroe-book-poems-every,American poetry
monroe-book-poems-every,English poetry
mencken-book-prefaces,American literature
mencken-book-prefaces,American literature--History and criticism
mencken-book-prefaces,Joseph Conrad
mencken-book-prefaces,James Huneker
mencken-book-prefaces,Theodore Dreiser
hood-book-robert-southwell,Robert Southwell
hood-book-robert-southwell,Southwell family
okakura-book-tea,Manners and customs
okakura-book-tea,Japan
okakura-book-tea,Tea
books-writers,Intellectual life
books-writers,Great Britain
books-writers,"Authors, English"
books-writers,Henry Crabb Robinson
maugham-books,Books and reading
eagle-books-general-first,Books and reading
eagle-books-general-second,Books and reading
eagle-books-general-third,Books and reading
wells-boon,English fiction
wells-boon,English fiction--20th century
wells-boon,Satire
sinclair-boston,"Sacco-Vanzetti Trial, Dedham, Mass., 1921"
sinclair-boston,"Sacco-Vanzetti Trial (Dedham, Massachusetts : 1921)"
sinclair-boston,Massachusetts--Dedham
gilligan-boundary-night,"Police Strike, Boston, Mass., 1919"
gilligan-boundary-night,"Police Strike (Boston, Massachusetts : 1919)"
hanley-boy,"Political fiction, English"
sinclair-brass-check,United States
sinclair-brass-check,Journalism
sinclair-brass-check,Journalism--United States
sinclair-brass-check,Associated Press
huxley-brave-new-world,Totalitarianism
huxley-brave-new-world,Collectivism
huxley-brave-new-world,Passivity (Psychology)
huxley-brave-new-world,Genetic engineering
stevens-brawny-man,Agriculture
stevens-brawny-man,Physical-appearance-based bias
scott-bride-lammermoor,Covenanters
werner-brigham-young,Brigham Young
werner-brigham-young,Mormon Church--Presidents
werner-brigham-young,Mormon Church
werner-brigham-young,Mormon Church--History
werner-brigham-young,Presidents
werner-brigham-young,Utah
greene-brighton-rock,England--Brighton
greene-brighton-rock,Teenage boys
greene-brighton-rock,Psychopaths
callaghan-broken-journey,Ontario--Toronto
tagore-broken-ties-stories,Manners and customs
tagore-broken-ties-stories,India
tagore-broken-ties-stories,Rabindranath Tagore
tagore-broken-ties-stories,"Short stories, Bengali"
willis-brontes,Brontë
loeb-broom,"Literature, Modern"
loeb-broom,"Arts, Modern"
loeb-broom,"Art, Modern"
loeb-broom,Italian
coomaraswamy-buddha-gospel-buddhism,Gautama Buddha
coomaraswamy-buddha-gospel-buddhism,Buddhism
wassermann-bula-matari-stanley,Henry M. Stanley
bull-fighting,Bullfights
froude-bunyan,John Bunyan
orwell-burmese-days,Imperialism
orwell-burmese-days,British
orwell-burmese-days,Racism
orwell-burmese-days,Burma
orwell-burmese-days,Classism
london-burning-daylight,California
london-burning-daylight,Gold mines and mining
london-burning-daylight,Women pioneers
london-burning-daylight,Alaska
sullivan-grace-god,Autobiography
lawrence-young,Depressions--1929
lawrence-young,Depressions
lawrence-young,Romance fiction
nichol-byron,George Gordon Byron Byron
quennell-byron-years-fame,"Poets, English"
quennell-byron-years-fame,Friendship
quennell-byron-years-fame,George Gordon Byron Byron
baring-c,English fiction
baring-c,Men
lewis-caliphs-design,General works
