item_id,genre
malory-morte-darthur,chivalric romance
more-utopia,literature
more-utopia,political philosophy
webster-white-devil,revenge play
cervantes-don-quixote,novela naturalista
cervantes-don-quixote,novela naturalista
cervantes-don-quixote,adventure novel
cervantes-don-quixote,chivalric romance
cervantes-don-quixote,adventure novel
cervantes-don-quixote,chivalric romance
burton-anatomy-melancholy,essay
hobbes-leviathan,philosophical literature
bunyan-pilgrims-progress,allegory
bunyan-pilgrims-progress,science fiction novel
butler-hudibras,satire
swift-tale-tub,novel
swift-tale-tub,satire
pope-essay-criticism,essay
defoe-robinson-crusoe,adventure novel
defoe-robinson-crusoe,developmental novel
defoe-robinson-crusoe,autobiography
defoe-moll-flanders,crime novel
swift-gullivers-travels,satirical novel
swift-gullivers-travels,speculative fiction novel
swift-gullivers-travels,science fiction novel
swift-gullivers-travels,dystopian novel
fielding-joseph-andrews,comic novel
smollett-adventures-roderick-random,novel
fielding-amelia,novel
smollett-adventures-peregrine-pickle,novel
paltock-life-adventures-peter,adventure novel
voltaire-candide,Bildungsroman
voltaire-candide,novella
johnson-history-rasselas-prince,apologue
johnson-history-rasselas-prince,novella
sterne-life-opinions-tristram,satirical novel
smollett-life-adventures-sir,novel
rousseau-emile-education,treatise
rousseau-emile-education,education novel
rousseau-emile-education,philosophical novel
goldsmith-vicar-wakefield,novel
smollett-expedition-humphry-clinker,epistolary novel
paine-common-sense,pamphlet
paine-common-sense,essay
gibbon-history-decline-fall,non-fiction
franklin-autobiography-benjamin-franklin,memoir
radcliffe-mysteries-udolpho,thriller novel
radcliffe-mysteries-udolpho,speculative fiction novel
radcliffe-mysteries-udolpho,horror novel
radcliffe-mysteries-udolpho,Gothic fiction
radcliffe-mysteries-udolpho,romance novel
scott-lady-lake,narrative poetry
scott-lady-lake,poem
austen-sense-sensibility,Bildungsroman
austen-sense-sensibility,romance novel
wyss-swiss-family-robinson,adventure novel
austen-pride-prejudice,satire
austen-pride-prejudice,satire
austen-pride-prejudice,psychological novel
austen-pride-prejudice,novel of manners
austen-pride-prejudice,romance novel
austen-pride-prejudice,psychological novel
austen-pride-prejudice,novel of manners
austen-pride-prejudice,romance novel
austen-mansfield-park,romance novel
scott-waverley,Bildungsroman
scott-waverley,picaresque novel
scott-waverley,historical novel
austen-emma,romance novel
peacock-headlong-hall,novel
coleridge-biographia-literaria,autobiography
austen-northanger-abbey,romance novel
scott-rob-roy,historical novel
scott-rob-roy,Bildungsroman
scott-heart-midlothian,historical novel
irving-rip-van-winkle,time-travel fiction
scott-bride-lammermoor,historical novel
scott-ivanhoe,historical novel
hazlitt-table-talk,social commentary
hazlitt-table-talk,"list of anti-cultural, anti-national, and anti-ethnic terms"
scott-fortunes-nigel,historical novel
scott-quentin-durward,historical novel
peacock-misfortunes-elphin,novel
peacock-crotchet-castle,novel
scott-count-robert-paris,historical novel
balzac-eugenie-grandet,realist novel
marryat-peter-simple,novel
carlyle-sartor-resartus,comic novel
dickens-oliver-twist,drama
andersen-wild-swans,literary fairy tale
andersen-wild-swans,conte
dickens-nicholas-nickleby,social commentary
stendhal-charterhouse-parma,historical novel
stendhal-charterhouse-parma,Bildungsroman
stendhal-charterhouse-parma,historical novel
stendhal-charterhouse-parma,Bildungsroman
stendhal-charterhouse-parma,literary realism
stendhal-charterhouse-parma,literary realism
dickens-barnaby-rudge,historical novel
cooper-deerslayer,European colonization of the Americas
cooper-deerslayer,historical novel
cooper-deerslayer,adventure novel
dickens-old-curiosity-shop,novel
dickens-old-curiosity-shop,social commentary
gogol-dead-souls,satirical novel
gogol-dead-souls,picaresque novel
gogol-dead-souls,narrative poetry
dickens-pictures-italy,non-fiction
dickens-pictures-italy,travel literature
melville-typee,novel
melville-typee,travel literature
bronte-agnes-grey,novel
melville-omoo,travel literature
melville-omoo,autobiographical novel
marryat-children-new-forest,novel
thackeray-vanity-fair,satirical novel
bronte-wuthering-heights,Gothic fiction
dickens-dombey,novel
dickens-dombey,social commentary
thackeray-book-snobs,satire
bronte-tenant-wildfell-hall,epistolary novel
smith-dictionary-greek-roman,dictionary
smith-dictionary-greek-roman,biographical dictionary
bronte-shirley,novel
ruskin-seven-lamps-architecture,non-fiction
dickens-david-copperfield,Bildungsroman
dickens-david-copperfield,autobiographical novel
hawthorne-scarlet-letter,historical novel
hawthorne-scarlet-letter,romance novel
melville-white-jacket,adventure novel
hawthorne-house-seven-gables,Gothic fiction
stowe-uncle-toms-cabin,social novel
dickens-bleak-house,novel
gaskell-cranford,novel
bronte-villette,novel
dickens-hard-times,social novel
dickens-hard-times,serialized fiction
thoreau-walden,non-fiction
thoreau-walden,diary
flaubert-madame-bovary,narrative
flaubert-madame-bovary,realist novel
reade-peg-woffington,novel
trollope-barchester-towers,novel
dickens-little-dorrit,novel
gaskell-life-charlotte-bronte,biography
bronte-professor,novel
hughes-tom-browns-school,children's literature
hughes-tom-browns-school,autobiographical novel
hughes-tom-browns-school,school story
dickens-tale-two-cities,historical novel
dickens-tale-two-cities,social novel
eliot-adam-bede,historical novel
mill-liberty,non-fiction
meredith-ordeal-richard-feverel,philosophical novel
eliot-mill-floss,novel
collins-woman-white,epistolary novel
collins-woman-white,sensation fiction
collins-woman-white,Gothic fiction
collins-woman-white,crime novel
trollope-framley-parsonage,novel
dickens-great-expectations,black comedy
dickens-great-expectations,Bildungsroman
trollope-orley-farm,novel
dostoyevsky-house-dead,serialized fiction
eliot-romola,historical novel
trollope-small-house-allington,novel
gaskell-wives-daughters,novel
trollope-belton-estate,novel
trollope-claverings,novel
dostoyevsky-gambler,existentialist novel
rossetti-princes-progress,poem
bagehot-english-constitution,non-fiction
trollope-last-chronicle-barset,novel
tolstoy-war-peace,historical novel
tolstoy-war-peace,romance novel
tolstoy-war-peace,war novel
tolstoy-war-peace,philosophical novel
alcott-little-women,realist novel
alcott-little-women,young adult novel
alcott-little-women,Bildungsroman
alcott-little-women,developmental novel
alcott-little-women,family saga novel
alcott-little-women,autobiographical novel
harte-luck-roaring-camp,Western literature
collins-moonstone,speculative fiction novel
collins-moonstone,crime novel
collins-moonstone,epistolary novel
browning-ring-book,poetry
flaubert-sentimental-education,novel
disraeli-lothair,philosophical novel
dickens-mystery-edwin-drood,crime novel
dickens-mystery-edwin-drood,Gothic fiction
hardy-desperate-remedies,novel
eliot-middlemarch,novel
meredith-adventures-harry-richmond,romance novel
meredith-adventures-harry-richmond,picaresque novel
meredith-adventures-harry-richmond,adventure novel
darwin-descent-man-selection,scientific publication
butler-erewhon,speculative fiction novel
butler-erewhon,science fiction novel
hardy-greenwood-tree,novel
hardy-pair-blue-eyes,novel
alcott-work-story-experience,autobiographical novel
dostoyevsky-idiot,existentialist novel
meredith-beauchamps-career,political novel
james-roderick-hudson,Bildungsroman
eliot-daniel-deronda,novel
alcott-rose-bloom,novel
twain-adventures-tom-sawyer,narration
twain-adventures-tom-sawyer,narration
twain-adventures-tom-sawyer,children's literature
twain-adventures-tom-sawyer,children's literature
twain-adventures-tom-sawyer,Bildungsroman
twain-adventures-tom-sawyer,adventure novel
twain-adventures-tom-sawyer,Bildungsroman
twain-adventures-tom-sawyer,adventure novel
hardy-hand-ethelberta,novel
carroll-hunting-snark,nonsense verse
trollope-prime-minister,novel
tolstoy-anna-karenina,realist novel
russell-wreck-grosvenor,novel
